TIN,ECN1,NAME1,DOB1,ECN2,NAME2,DOB2,ECN3,NAME3,DOB3
1,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
2,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
3,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
4,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
5,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
6,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
7,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
8,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
9,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
10,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
11,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
12,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
13,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
14,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
15,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
16,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
17,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
18,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
19,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
20,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
21,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
22,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
23,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
24,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
25,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
26,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
27,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
28,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
29,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
30,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
31,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
32,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
33,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
34,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
35,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
36,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
37,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
38,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
39,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
40,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
41,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
42,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
43,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
44,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
45,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
46,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
47,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
48,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
49,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
50,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
51,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
52,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
53,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
54,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
55,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
56,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
57,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
58,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
59,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
60,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
61,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
62,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
63,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
64,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
65,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
66,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
67,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
68,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
69,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
70,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
71,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
72,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
73,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
74,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
75,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
76,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
77,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
78,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
79,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
80,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
81,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
82,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
83,74,RAGHU,18-06-97,20,JOHN,20-11-84,59,TOM,01-01-80
84,17,DONALD,21-01-93,98,TIMON,16-07-80,76,DOBBY,13-02-98
85,12,SRIKESH,01-12-90,24,AKARSHA,04-03-85,57,RAM,03-12-86
86,41,MANOGNA,24-04-95,89,MYTHRI,22-04-94,46,ARES,11-08-99
